Thread 1 initialized thread-local cache.
Thread 1 - Cache Size: 96
Thread 1 - Cache Grew
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
Thread 1 - Cache Size: 112
